Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
,Philepittidae,137529,Aves,2,27.58451694,0.000371747,0.771873686,-11.21455111,1%-2%,-3.575707496,17.64007996
,Psilocorsis,347802,Arthropods,3,106.1,0.001429933,-,-11.21450955,1%-2%,-,-
Soft Corals,Telestacea,91447,Metazoans,8,317.3,0.004282655,-,-11.21302978,1%-2%,-,-
,Zonophryxus,330542,Arthropods,2,340,0.004608295,-,-11.20884297,1%-2%,-,-
,Ceraphronoidea,44357,Arthropods,32,219.7,0.002996816,-,-11.20246791,1%-2%,-,-
,Thaia saprophytica,667022,Embryophytes,1,41.06,0.000560224,-,-11.20220811,1%-2%,-,-
,Barbeuia madagascariensis,169262,Embryophytes,1,44,0.000601685,-,-11.19996661,1%-2%,-,-
,Stenopodidea,6812,Arthropods,9,327.16,0.00450676,-,-11.1926261,1%-2%,-,-
,Hydrastis canadensis,13569,Embryophytes,1,70.1,0.000966184,-,-11.1920795,1%-2%,-,-
,Glaucidium palmatum,39106,Embryophytes,1,70.1,0.000966184,-,-11.1920795,1%-2%,-,-
,Rhabdodendron,63082,Embryophytes,2,86.2,0.001203369,-,-11.17929997,1%-2%,-,-
,Physena,63762,Embryophytes,2,86.1,0.001203369,-,-11.17813921,1%-2%,-,-
,Coptonotus cyclopus,1002026,Arthropods,1,73.68666667,0.001036269,-,-11.17194997,1%-2%,-,-
,Furcipes rectirostris,201921,Arthropods,1,73.68666667,0.001036269,-,-11.17194997,1%-2%,-,-
,Liophloeus tessulatus,202024,Arthropods,1,73.68666667,0.001036269,-,-11.17194997,1%-2%,-,-
,Phacecorynes variegatus,202115,Arthropods,1,73.68666667,0.001036269,-,-11.17194997,1%-2%,-,-
,Philopedon plagiatum,202117,Arthropods,1,73.68666667,0.001036269,-,-11.17194997,1%-2%,-,-
,Lampriformes,81386,Actinopterians,21,132,0.001857257,-,-11.17145677,1%-2%,-,-
,Picramniaceae,85159,Embryophytes,5,98.4,0.001388118,-,-11.16884742,1%-2%,-,-
,Agyrtidae,66531,Arthropods,8,268,0.003793267,-,-11.16551462,1%-2%,-,-
,Lactoris fernandeziana,22303,Embryophytes,1,97.4,0.001392758,-,-11.15529578,1%-2%,-,-
discoglossid toads,Alytidae,8343,Amphbians,13,156.9,0.002257728,-,-11.14900477,1%-2%,-,-
,Chalcodryidae,219435,Arthropods,2,179.175,0.002580645,-,-11.14807883,1%-2%,-,-
,Melytra,1272044,Arthropods,2,179.175,0.002580645,-,-11.14807883,1%-2%,-,-
,Paratropis,389782,Arthropods,3,172,0.0025,-,-11.13895902,1%-2%,-,-
,Flagellaria,13528,Embryophytes,7,87.5,0.001272496,-,-11.13841382,1%-2%,-,-
,Ponerinae,1005053,Embryophytes,14,1513.9,0.022082019,-,-11.13543601,1%-2%,-,-
,Micronoctuidae,655087,Arthropods,4,62.95,0.000921871,-,-11.13144559,1%-2%,-,-
,Picathartidae,175129,Aves,4,50.69128993,0.000743771,-,-11.12953158,1%-2%,-,25.95632593
thorny-headed worms,Acanthocephala,10232,Metazoans,169,662,0.009749625,-,-11.12579201,1%-2%,-,-
,Psalidopus,576231,Arthropods,2,292.2,0.004338395,-,-11.11768936,1%-2%,-,-
,Castor,10184,Mammals,2,71.6,0.001068947,0.90758679,-11.11217622,1%-2%,-4.366884058,41.8761443
,Trictenotoma,432919,Arthropods,2,172.4,0.002580645,-,-11.10953321,1%-2%,-,-
,Gonorynchiformes,29140,Actinopterians,20,186,0.002787845,-,-11.10823306,1%-2%,-,-
,Thomandersia,324795,Embryophytes,2,54.6,0.0008285,-,-11.0959271,1%-2%,-,-
sea wasps,Cubozoa,6137,Metazoans,35,581.1,0.008847321,-,-11.09256349,1%-2%,-,-
,Glaresis,295534,Arthropods,6,188.6,0.002929688,-,-11.07248789,1%-2%,-,-
,Peloridiidae,38152,Arthropods,18,302,0.004696061,-,-11.07145832,1%-2%,-,-
,Tetrachondraceae,41234,Embryophytes,3,79.8,0.001242751,-,-11.06995162,1%-2%,-,-
,Ericmodes,298274,Arthropods,2,223.4,0.003484321,-,-11.0684461,1%-2%,-,-
,Quadrartus yoshinomiyai,1219287,Arthropods,1,89.9,0.001408451,-,-11.06396291,1%-2%,-,-
,Aenictogiton,411687,Arthropods,3,94.1,0.001475652,-,-11.06301357,1%-2%,-,-
,Fagisuga triloba,340562,Arthropods,1,176.22,0.00280112,-,-11.049469,1%-2%,-,-
,Asterococcus muratae,536021,Arthropods,1,176.22,0.00280112,-,-11.049469,1%-2%,-,-
,Polychelidae,125909,Arthropods,11,340,0.005508262,-,-11.03045168,1%-2%,-,-
,Gigantiops destructor,219780,Arthropods,1,82.4,0.001344086,-,-11.02362647,1%-2%,-,-
,Ptychopteromorpha,43788,Arthropods,18,237.3,0.003893576,-,-11.01775253,1%-2%,-,-
,Plokiophilidae,236453,Arthropods,3,166.125,0.002749771,-,-11.00897821,1%-2%,-,-
,Zeugophora,131727,Arthropods,7,194,0.003216912,-,-11.00719162,1%-2%,-,-
,Circaeasteraceae,39161,Embryophytes,2,95.8,0.001606426,-,-10.99600631,1%-2%,-,-
,Siagona,63865,Arthropods,2,131.6,0.002212389,-,-10.9934492,1%-2%,-,-
,Climacteridae,47693,Aves,5,54.97022373,0.000929887,0.848779427,-10.98723962,1%-2%,-4.169652624,18.08823778
,Omalisus,343736,Arthropods,2,137.7,0.002350176,-,-10.97834235,1%-2%,-,-
,Ocoa chilensis,240532,Arthropods,1,127.525,0.002183406,-,-10.97518161,1%-2%,-,-
,Haplomitriopsida,402711,Embryophytes,16,418.9,0.007187781,-,-10.97300504,1%-2%,-,-
New Zealand lesser short-tailed bat,Mystacina tuberculata,94961,Mammals,1,57.7,0.000992063,-,-10.97098062,1%-2%,-,57.79318908
,Dysoptus,753469,Arthropods,2,180,0.00310559,-,-10.9675084,1%-2%,-,-
stoneflies,Plecoptera,50622,Arthropods,685,345.8,0.005988652,-,-10.96374948,1%-2%,-,-
,Gelsemium,26478,Embryophytes,4,56.3,0.000975848,-,-10.96289849,1%-2%,-,-
,Phloeostichidae,196981,Arthropods,2,201,0.003484321,-,-10.96278712,1%-2%,-,-
,Collembola,1652077,Arthropods,1051,439.3,0.007616549,-,-10.96261443,1%-2%,-,-
,Behningiidae,243543,Arthropods,3,228.8,0.00397878,-,-10.95962834,1%-2%,-,-
,Evocoa chilensis,797145,Arthropods,1,125,0.002183406,-,-10.95518292,1%-2%,-,-
,Thurniaceae,75428,Embryophytes,8,83.1,0.001454281,-,-10.95328833,1%-2%,-,-
,Timmia,65531,Embryophytes,5,143.2,0.002506266,-,-10.95320367,1%-2%,-,-
gastrotrichs,Gastrotricha,33313,Metazoans,203,662,0.011711088,-,-10.94248475,1%-2%,-,-
,Scopura montana,143739,Arthropods,1,189.4,0.003355705,-,-10.94095467,1%-2%,-,-
giant cichlid,Boulengerochromis microlepis,32488,Actinopterians,1,58.6,0.001044932,-,-10.93453809,1%-2%,-,-
,Neopetalia punctata,126252,Arthropods,1,161.5,0.002881844,-,-10.93382992,1%-2%,-,-
,Sarcobatus vermiculatus,46107,Embryophytes,1,33.5,0.000601685,-,-10.92732241,1%-2%,-,-
,Athoracophoridae,73111,Metazoans,2,129.9,0.002344666,-,-10.92237729,1%-2%,-,-
scorpionflies and hangingflies,Mecoptera,27420,Arthropods,153,208,0.003766988,-,-10.91901751,1%-2%,-,-
,Ricinoididae,88345,Arthropods,55,419.3,0.007611403,-,-10.91669438,1%-2%,-,-
,Anomochlooideae,147364,Embryophytes,4,75.8,0.001385042,-,-10.91012343,1%-2%,-,-
,Doa,655165,Arthropods,5,62.95,0.001152339,-,-10.90830203,1%-2%,-,-
,Bravaisia integerrima,440885,Embryophytes,1,62.8,0.001152074,-,-10.90614679,1%-2%,-,-
,Eusiphon geayi,440891,Embryophytes,1,62.8,0.001152074,-,-10.90614679,1%-2%,-,-
,Analetris eximia,240917,Arthropods,1,131.5,0.002415459,-,-10.90487283,1%-2%,-,-
,Ametropus neavei,240919,Arthropods,1,131.5,0.002415459,-,-10.90487283,1%-2%,-,-
,Rhabdornis,237437,Aves,2,20.09622685,0.000371747,-,-10.89782855,1%-2%,-,13.67410119
,Boganiidae,196979,Arthropods,2,187.0222222,0.003484321,-,-10.89070966,1%-2%,-,-
,Myrabolia,1605698,Arthropods,2,187.0222222,0.003484321,-,-10.89070966,1%-2%,-,-
,Cyclaxyra,295931,Arthropods,2,187.0222222,0.003484321,-,-10.89070966,1%-2%,-,-
,Cerophytidae,195306,Arthropods,3,187.86,0.003525264,-,-10.88349684,1%-2%,-,-
,Pennantia,159370,Embryophytes,4,69.1,0.00130719,-,-10.87543056,1%-2%,-,-
,Nemonychidae,27443,Arthropods,12,176.8,0.003363229,-,-10.86987299,1%-2%,-,-
,Tanaoctena,1369696,Arthropods,4,130.65,0.002492212,-,-10.86710667,1%-2%,-,-
,Metteniusaceae,418793,Embryophytes,18,102,0.00195122,-,-10.86427352,1%-2%,-,-
,Argophyllaceae,57707,Embryophytes,11,58.2,0.001114037,-,-10.8636504,1%-2%,-,-
,Apatophysis barbara,1605645,Arthropods,1,167.6,0.003215434,-,-10.8613731,1%-2%,-,-
,Macarthuria,764201,Embryophytes,2,62.6,0.001203369,-,-10.85939507,1%-2%,-,-
,Panemeria tenebrata,938246,Arthropods,1,60.4,0.00116144,-,-10.85908361,1%-2%,-,-
,Nautilidae,34571,Metazoans,6,411.3,0.00795756,-,-10.85295577,1%-2%,-,-
,Carlemanniaceae,124811,Embryophytes,3,64.19285714,0.001242751,-,-10.85232006,1%-2%,-,-
,Sladeniaceae,235238,Embryophytes,3,79.8,0.001548787,-,-10.84980688,1%-2%,-,-
,Blasticotomidae,85774,Arthropods,5,210.9,0.004098361,-,-10.84855231,1%-2%,-,-
,Janseodes melanospila,1374546,Arthropods,1,59.475,0.00116144,-,-10.84365056,1%-2%,-,-
,Phobolosia anfracta,319794,Arthropods,1,59.475,0.00116144,-,-10.84365056,1%-2%,-,-
autumn silkworm moths,Lemoniidae,119273,Arthropods,2,79.66666667,0.001558846,-,-10.84166045,1%-2%,-,-
,Garryales,91889,Embryophytes,17,93.4,0.001842818,-,-10.83335047,1%-2%,-,-
,Promecognathinae,316994,Arthropods,2,109.9833333,0.002212389,-,-10.81401102,1%-2%,-,-
,Apotomus,63869,Arthropods,2,109.9833333,0.002212389,-,-10.81401102,1%-2%,-,-
,Cymbionotum,63867,Arthropods,2,109.9833333,0.002212389,-,-10.81401102,1%-2%,-,-
,Loricera,60818,Arthropods,2,109.9833333,0.002212389,-,-10.81401102,1%-2%,-,-
lampshells,Brachiopoda,7568,Metazoans,215,616.5,0.012403369,-,-10.81384546,1%-2%,-,-
,Epiophlebia,126246,Arthropods,3,181,0.003671971,-,-10.80552384,1%-2%,-,-
,Microtea,696523,Embryophytes,2,59.29130435,0.001203369,-,-10.80509245,1%-2%,-,-
,Akaniaceae,19373,Embryophytes,3,56.9,0.001171875,-,-10.79044559,1%-2%,-,-
,Dilleniaceae,24942,Embryophytes,91,105.3,0.002172771,-,-10.78856533,1%-2%,-,-
,Ochodaeidae,110055,Arthropods,8,188.9333333,0.00390625,-,-10.78657166,1%-2%,-,-
,Alucitidae,655175,Arthropods,20,119.35,0.0024888,-,-10.77801481,1%-2%,-,-
,Rallidens mcfarlanei,243526,Arthropods,1,115.6,0.002415459,-,-10.77600193,1%-2%,-,-
,Acria,753261,Arthropods,4,90.8,0.001906578,-,-10.77110471,1%-2%,-,-
,Galbulimima,13534,Embryophytes,2,89.8,0.001888574,-,-10.76951814,1%-2%,-,-
,Serritermes serrifer,119666,Arthropods,1,64.7,0.001362398,-,-10.76827023,1%-2%,-,-
,Psiloxyloideae,1699512,Embryophytes,2,69.9,0.00148368,-,-10.76029576,1%-2%,-,-
,Altiphylax,1353230,Lepidosaurians,2,110.6666667,0.002372479,-,-10.75034246,1%-2%,-,-
,Boridae,295956,Arthropods,3,179.175,0.003870968,-,-10.74261372,1%-2%,-,-
,Saccolomataceae,693775,Embryophytes,7,164.9,0.003598972,-,-10.73244634,1%-2%,-,-
,Ankylomyrma coronacantha,603033,Arthropods,1,76.64,0.001683502,-,-10.72599845,1%-2%,-,-
,Stegomyrmex manni,625344,Arthropods,1,76.64,0.001683502,-,-10.72599845,1%-2%,-,-
,Lenomyrmex colwelli,610674,Arthropods,1,76.64,0.001683502,-,-10.72599845,1%-2%,-,-
,Liomyrmex gestroi,611176,Arthropods,1,76.64,0.001683502,-,-10.72599845,1%-2%,-,-
,Microgecko,1353229,Lepidosaurians,2,108,0.002372479,-,-10.725951,1%-2%,-,-
,Marinogammarus stoerensis,526748,Arthropods,1,102.7,0.002262443,-,-10.723122,1%-2%,-,-
,Telmatogetoninae,43811,Arthropods,4,156.6,0.003451251,-,-10.72271327,1%-2%,-,-
,Neocentrocnemis stali,888042,Arthropods,1,140.2,0.003115265,-,-10.7145111,1%-2%,-,-
,Bogidielloidea,1732314,Arthropods,4,178,0.003960396,-,-10.7131948,1%-2%,-,-
,Ceuthomantis smaragdinus,696019,Amphbians,1,67,0.001494768,-,-10.71047668,1%-2%,-,-
,Butomus,50235,Embryophytes,2,71.7,0.001605136,-,-10.70703727,1%-2%,-,-
,Heteroponerinae,292224,Arthropods,4,87.7,0.001967536,-,-10.70489535,1%-2%,-,-
,Pleurospermopsis sikkimensis,681560,Embryophytes,1,41.4,0.000929368,-,-10.70428662,1%-2%,-,-
,Dascilloidea,107943,Arthropods,7,159,0.003569607,-,-10.70420388,1%-2%,-,-
,Erigenia bulbosa,63005,Embryophytes,1,41.3,0.000929368,-,-10.70186824,1%-2%,-,-
,Aetalionidae,139619,Arthropods,7,170.7,0.003848268,-,-10.70003966,1%-2%,-,-
,Centrolepidaceae,98863,Embryophytes,11,88.575,0.001999636,-,-10.69863955,1%-2%,-,-
streaked wren-babbler,Turdinus brevicaudatus,1743391,Aves,1,8.216984259,0.000185839,-,-10.69683277,1%-2%,-,9.1726451
,Euptelea,13522,Embryophytes,3,106.2,0.002409639,-,-10.69360263,1%-2%,-,-
,Gastrochaenidae,114949,Metazoans,5,429.8,0.009803922,-,-10.6882928,1%-2%,-,-
,Hygrobia,107879,Arthropods,8,159.3,0.003664682,-,-10.67980303,1%-2%,-,-
,Anarthriaceae,98870,Embryophytes,12,94.6,0.002181422,-,-10.677436,1%-2%,-,-
,Bolboceratidae,110049,Arthropods,9,188.9333333,0.004394531,-,-10.66878863,1%-2%,-,-
,Hypselothyrea guttata,1262499,Arthropods,1,65.2,0.00152207,-,-10.66514349,1%-2%,-,-
,Lissocephala sanu,1262507,Arthropods,1,65.2,0.00152207,-,-10.66514349,1%-2%,-,-
,Dettopsomyia nigrovittata,188280,Arthropods,1,65.2,0.00152207,-,-10.66514349,1%-2%,-,-
,Styloptera formosae,1262483,Arthropods,1,65.2,0.00152207,-,-10.66514349,1%-2%,-,-
,Helota,433108,Arthropods,3,223.4,0.005226481,-,-10.66298099,1%-2%,-,-
,Schreckensteinia,687128,Arthropods,5,130.65,0.003115265,-,-10.64396312,1%-2%,-,-
,Nepaletricha,1520328,Arthropods,2,144.75,0.003460208,-,-10.6414348,1%-2%,-,-
,Epermeniidae,754029,Arthropods,23,119.35,0.00286212,-,-10.63825286,1%-2%,-,-
,Choritaenia capensis,370348,Embryophytes,1,38.54666667,0.000929368,-,-10.63287537,1%-2%,-,-
,Marlothiella gummifera,591025,Embryophytes,1,38.54666667,0.000929368,-,-10.63287537,1%-2%,-,-
,Phlyctidocarpa flava,591030,Embryophytes,1,38.54666667,0.000929368,-,-10.63287537,1%-2%,-,-
,Notostigma carazzii,411713,Arthropods,1,77.1,0.001865672,-,-10.62923744,1%-2%,-,-
,Roridula,3771,Embryophytes,3,63.9,0.001548787,-,-10.62760274,1%-2%,-,-
,Argulidae,6840,Arthropods,19,463.5,0.011255924,-,-10.62566708,1%-2%,-,-
New Zealand batfly,Mystacinobia zelandica,81695,Arthropods,1,41.2,0.001003009,-,-10.62318903,1%-2%,-,-
,Siphloplecton,309630,Arthropods,3,110.2,0.00270514,-,-10.6148986,1%-2%,-,-
,Pseudonotoncus hirsutus,621834,Arthropods,1,54.7,0.001344086,-,-10.61390474,1%-2%,-,-
,Stylidiaceae,41865,Embryophytes,21,86.2,0.002126798,-,-10.60980806,1%-2%,-,-
,Calla palustris,45007,Embryophytes,1,80.2,0.001984127,-,-10.60709978,1%-2%,-,-
,Ptilidiales,984499,Embryophytes,8,282.3,0.006999125,-,-10.60494046,1%-2%,-,-
,Gymnostachys anceps,4467,Embryophytes,1,79.8,0.001984127,-,-10.60209977,1%-2%,-,-
,Mimozyganthus carinatus,325692,Embryophytes,1,55.2,0.001373626,-,-10.601264,1%-2%,-,-
,Anischia,445458,Arthropods,4,187.86,0.004700353,-,-10.59581477,1%-2%,-,-
,Tetracarpaea tasmanica,23094,Embryophytes,1,61.4,0.0015625,-,-10.57887801,1%-2%,-,-
,Aphroteniinae,43805,Arthropods,6,202.9,0.005176877,-,-10.57626662,1%-2%,-,-
,Turnix,9247,Aves,7,30.9775647,0.000795003,-,-10.5704281,1%-2%,-,12.26091528
,Halophytum ameghinoi,124817,Embryophytes,1,29,0.000750188,-,-10.56248315,1%-2%,-,-
grebes,Podicipedidae,30448,Aves,13,56.78914409,0.001477441,0.960764927,-10.55678918,1%-2%,-4.077834101,25.4042175
,Matutidae,761932,Arthropods,2,128.8090909,0.003361345,-,-10.55374562,1%-2%,-,-
,Orthostixinae,394109,Arthropods,3,43.2,0.001127396,-,-10.55368548,1%-2%,-,-
,Pteroplistidae,1767951,Arthropods,2,214.6,0.005602241,-,-10.55336443,1%-2%,-,-
,Kewa,1836466,Embryophytes,2,46,0.001203369,-,-10.55127119,1%-2%,-,-
,Calyceraceae,41860,Embryophytes,16,61.8,0.001620417,-,-10.54897496,1%-2%,-,-
,Lacistemataceae,112827,Embryophytes,5,77.57142857,0.002039984,-,-10.54601264,1%-2%,-,-
,Centroplacaceae,441543,Embryophytes,5,77.57142857,0.002039984,-,-10.54601264,1%-2%,-,-
,Calinaga,191404,Arthropods,2,61.7,0.001647446,-,-10.53081272,1%-2%,-,-
,Irvingiaceae,629715,Embryophytes,5,76.3,0.002039984,-,-10.52948641,1%-2%,-,-
,Cyatholipidae,233272,Arthropods,2,120.9666667,0.003241491,-,-10.52723687,1%-2%,-,-
,Xerorchis,78856,Embryophytes,2,41.06,0.001120448,-,-10.50906093,1%-2%,-,-
,Perama hirsuta,60064,Embryophytes,1,62.4,0.00172117,-,-10.49831603,1%-2%,-,-
,Prophalangopsidae,70907,Arthropods,3,146,0.004043127,-,-10.49434358,1%-2%,-,-
,Hobartius,1524785,Arthropods,3,187.0222222,0.005226481,-,-10.48524455,2%-3%,-,-
,Alcidodes,1736952,Arthropods,2,73.68666667,0.002072539,-,-10.47880279,2%-3%,-,-
,Orobitis,342695,Arthropods,2,73.68666667,0.002072539,-,-10.47880279,2%-3%,-,-
,Bagassa guianensis,241862,Embryophytes,1,82.4,0.002320186,-,-10.47769353,2%-3%,-,-
,Bleekrodea madagascariensis,241867,Embryophytes,1,82.4,0.002320186,-,-10.47769353,2%-3%,-,-
nipa palm,Nypa fruticans,4718,Embryophytes,1,59.6,0.001680672,-,-10.47621698,2%-3%,-,-
yucca and fairy moths,Incurvarioidea,37584,Arthropods,188,180,0.005079022,-,-10.4755934,2%-3%,-,-
,Cinclus,127874,Aves,4,26.25680701,0.000743771,-,-10.47170275,2%-3%,-,12.11169114
,Griselinia,16912,Embryophytes,6,69.1,0.001960784,-,-10.46996546,2%-3%,-,-
,Muntingiaceae,91852,Embryophytes,2,51.9,0.001480385,-,-10.46477195,2%-3%,-,-
,Neoguillauminia cleopatra,212306,Embryophytes,1,30.3,0.000865801,-,-10.46300334,2%-3%,-,-
cnidarians,Cnidaria,6073,Metazoans,6054,824,0.02356348,-,-10.46222775,2%-3%,-,-
,Prainea limpato,241912,Embryophytes,1,81,0.002320186,-,-10.46055724,2%-3%,-,-
,Tetrameristaceae,91901,Embryophytes,6,108,0.003097574,-,-10.45926742,2%-3%,-,-
,Acrogymnospermae,1437180,Embryophytes,1076,312.7,0.008998235,-,-10.45597104,2%-3%,-,-
,Prostomis,1205643,Arthropods,4,179.175,0.00516129,-,-10.45493165,2%-3%,-,-
,Magoniella obidensis,1048947,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Centrostegia thurberi,1214386,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Aristocapsa insignis,1214388,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Systenotheca vortreidei,1214389,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Dodecahema leptoceras,1214391,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Acanthoscyphus parishii,1214393,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Salta triflora,249117,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Afrobrunnichia erecta,559220,Embryophytes,1,71,0.002053388,-,-10.450944,2%-3%,-,-
,Gomortega,63797,Embryophytes,2,79.9,0.002325581,-,-10.44456106,2%-3%,-,-
,Jerdonia indica,656684,Embryophytes,1,58.8,0.001712329,-,-10.44404284,2%-3%,-,-
,Amphiboloidea,216439,Metazoans,20,162.3,0.004732608,-,-10.4427254,2%-3%,-,-
,Ommexechidae,70914,Arthropods,3,108.6,0.003174603,-,-10.44024405,2%-3%,-,-
spoonworms,Echiura,6427,Metazoans,29,596,0.017438364,-,-10.43932332,2%-3%,-,-
sun spiders,Solifugae,41356,Arthropods,89,419.3,0.012316634,-,-10.4353912,2%-3%,-,-
,Neoloricata,6651,Metazoans,204,525.8,0.015529842,-,-10.42991275,2%-3%,-,-
,Mohoidae,600333,Aves,5,31.44920389,0.000929887,-,-10.42882163,2%-3%,-,-
,Listroderini,123523,Arthropods,3,105.1,0.003108808,-,-10.42842809,2%-3%,-,-
,Artematopodidae,195313,Arthropods,7,278,0.008225617,-,-10.42812309,2%-3%,-,-
,Montiniaceae,91902,Embryophytes,4,78.9,0.002339181,-,-10.42613552,2%-3%,-,-
,Andreaea,13796,Embryophytes,21,220,0.006529851,-,-10.42499874,2%-3%,-,-
,Bradynobaenidae,237715,Arthropods,19,145,0.00431622,-,-10.42210903,2%-3%,-,-
,Palaeosomata,229880,Arthropods,8,471,0.014059754,-,-10.41929699,2%-3%,-,-
,Dioncophyllaceae,63072,Embryophytes,4,80.6,0.002406739,-,-10.41898126,2%-3%,-,-
,Lecanodiaspis,1069713,Arthropods,2,187.3,0.005602241,-,-10.41730021,2%-3%,-,-
,Platycarphella carlinoides,259887,Embryophytes,1,26.65,0.000803213,-,-10.40967996,2%-3%,-,-
,Pterostichinae,879230,Arthropods,3,109.9833333,0.003318584,-,-10.40854591,2%-3%,-,-
,Etia nguti,302982,Actinopterians,1,34.3,0.001044932,-,-10.39894875,2%-3%,-,-
,Pantopoda,373319,Arthropods,222,553.4,0.016894977,-,-10.39681998,2%-3%,-,-
,Pseudandrosus caerulus,1470742,Arthropods,1,100.2,0.003076923,-,-10.39099337,2%-3%,-,-
,Kraemeria,86208,Actinopterians,2,56.2,0.001737619,-,-10.38415599,2%-3%,-,-
,Huerteales,326966,Embryophytes,11,98.6,0.003053859,-,-10.38242051,2%-3%,-,-
,Balanops,82146,Embryophytes,5,65.8,0.002039984,-,-10.38143331,2%-3%,-,-
,Dichostemma glaucescens,212838,Embryophytes,1,27.8,0.000865801,-,-10.37689164,2%-3%,-,-
,Aiceona,1064606,Arthropods,2,89.9,0.002816901,-,-10.37081573,2%-3%,-,-
,Lizeriinae,527716,Arthropods,2,89.9,0.002816901,-,-10.37081573,2%-3%,-,-
,Neophyllaphis,133095,Arthropods,2,89.9,0.002816901,-,-10.37081573,2%-3%,-,-
,Achatocarpaceae,25636,Embryophytes,3,57.6,0.001805054,-,-10.37068725,2%-3%,-,-
,Myzopoda,155037,Mammals,2,63.3,0.001986097,-,-10.36946904,2%-3%,-,63.35634698
,Periegops,440352,Arthropods,2,228.75,0.007194245,-,-10.36710364,2%-3%,-,-
,Degeneria,13482,Embryophytes,3,89.8,0.002832861,-,-10.36405303,2%-3%,-,-
,Cephalotus follicularis,3775,Embryophytes,1,90.6,0.00286533,-,-10.36152614,2%-3%,-,-
,Sinogammarus chuanhui,462863,Arthropods,1,71.2,0.002262443,-,-10.3568027,2%-3%,-,-
,Halimococcidae,249426,Arthropods,2,176.22,0.005602241,-,-10.35632182,2%-3%,-,-
,Stictococcidae,249438,Arthropods,2,176.22,0.005602241,-,-10.35632182,2%-3%,-,-
ghost frogs,Heleophrynidae,30340,Amphbians,3,141,0.004484305,-,-10.35593166,2%-3%,-,-
,Hydrolea,24570,Embryophytes,3,54.7,0.001754386,-,-10.34750007,2%-3%,-,-
heelwalkers,Mantophasmatodea,192413,Arthropods,22,221.7,0.007135907,-,-10.34394109,2%-3%,-,-
,Vaillantella maassi,357290,Actinopterians,1,96.1,0.00310559,-,-10.33994086,2%-3%,-,-
,Alepocephaliformes,1489486,Actinopterians,50,214.6,0.006950236,-,-10.33775545,2%-3%,-,-
,Tanaostigmatidae,272299,Arthropods,8,156.9,0.005085823,-,-10.33690702,2%-3%,-,-
,Leucospidae,92434,Arthropods,8,156.9,0.005085823,-,-10.33690702,2%-3%,-,-
,Carapacea,185811,Arthropods,8,221.9,0.007213706,-,-10.33399928,2%-3%,-,-
fleas,Siphonaptera,7509,Arthropods,278,208,0.006844593,-,-10.32183432,2%-3%,-,-
,Beesoniidae,249420,Arthropods,2,169.8,0.005602241,-,-10.31920988,2%-3%,-,-
,Trigonopterygidae,62787,Arthropods,5,149.5,0.004950495,-,-10.31556409,2%-3%,-,-
,Codon,79338,Embryophytes,2,69.5,0.002301496,-,-10.3155227,2%-3%,-,-
bryozoans,Bryozoa,10205,Metazoans,381,662,0.021979924,-,-10.31289135,2%-3%,-,-
,Samoaia leonensis,30052,Arthropods,1,45.8,0.00152207,-,-10.31196811,2%-3%,-,-
,Stegnosperma,3534,Embryophytes,3,54.2,0.001805054,-,-10.3098456,2%-3%,-,-
,Nelumbo,4430,Embryophytes,3,110.2,0.003676471,-,-10.30809896,2%-3%,-,-
,Glaphyridae,110051,Arthropods,13,188.9333333,0.006347656,-,-10.30106385,2%-3%,-,-
,Foonchewia guangdongensis,1234228,Embryophytes,1,51.14285714,0.00172117,-,-10.29937359,2%-3%,-,-
,Acrothoracica,37902,Arthropods,9,372,0.012569832,-,-10.29534944,2%-3%,-,-
crested rat,Lophiomys imhausi,248799,Mammals,1,49.9,0.001692047,-,-10.29183702,2%-3%,-,49.94867815
,Quasimodorogas confusus,1549351,Arthropods,1,39.2,0.001331558,-,-10.2900824,2%-3%,-,-
,Trigonophatnus albobalteatus,1549353,Arthropods,1,39.2,0.001331558,-,-10.2900824,2%-3%,-,-
